system_name,HBM_power(W),HTC(kW/(m2K)),TIM_conductivity(W/(mK)),infill_conductivity(W/(mK)),underfill_conductivity(W/(mK)),HBM_stack_height,dummy_Si,calibrate_GPU_slope,calibrate_GPU_intercept,calibrate_HBM_slope,calibrate_HBM_intercept
2p5D_1GPU,9.0,7.0,5,1.6,1.6,16,False,0.188,31.32,0.189,30.93
2p5D_1GPU,9.4,7.0,5,1.6,1.6,16,False,0.190,31.26,0.191,30.87
2p5D_1GPU,10.1218,7.0,5,1.6,1.6,16,False,0.192,31.15,0.193,30.76
2p5D_1GPU,9.0,7.0,5,1.6,19,16,False,0.187,30.96,0.186,31.24
2p5D_1GPU,9.4,7.0,5,1.6,19,16,False,0.189,30.84,0.188,31.14
2p5D_1GPU,10.1218,7.0,5,1.6,19,16,False,0.191,30.74,0.190,31.04
2p5D_1GPU,9.0,7.0,5,19,1.6,16,False,0.185,31.24,0.189,30.98
2p5D_1GPU,9.4,7.0,5,19,1.6,16,False,0.186,31.19,0.190,30.91
2p5D_1GPU,10.1218,7.0,5,19,1.6,16,False,0.188,31.08,0.192,30.80
2p5D_1GPU,9.0,7.0,5,19,19,16,False,0.186,31.02,0.185,31.30
2p5D_1GPU,9.4,7.0,5,19,19,16,False,0.187,31.05,0.187,31.20
2p5D_1GPU,10.1218,7.0,5,19,19,16,False,0.189,31.04,0.189,31.07
2p5D_1GPU,9.0,7.0,10,1.6,1.6,16,False,0.176,31.88,0.175,32.08
2p5D_1GPU,9.4,7.0,10,1.6,1.6,16,False,0.177,31.83,0.176,32.02
2p5D_1GPU,10.1218,7.0,10,1.6,1.6,16,False,0.178,31.71,0.179,31.89
2p5D_1GPU,9.0,7.0,10,1.6,19,16,False,0.174,32.01,0.171,32.37
2p5D_1GPU,9.4,7.0,10,1.6,19,16,False,0.175,31.95,0.173,32.32
2p5D_1GPU,10.1218,7.0,10,1.6,19,16,False,0.177,31.86,0.175,32.22
2p5D_1GPU,9.0,7.0,10,19,1.6,16,False,0.175,31.87,0.174,32.16
2p5D_1GPU,9.4,7.0,10,19,1.6,16,False,0.176,31.82,0.175,32.11
2p5D_1GPU,10.1218,7.0,10,19,1.6,16,False,0.178,31.72,0.178,32.00
2p5D_1GPU,9.0,7.0,10,19,19,16,False,0.173,32.11,0.171,32.37
2p5D_1GPU,9.4,7.0,10,19,19,16,False,0.174,32.06,0.173,32.32
2p5D_1GPU,10.1218,7.0,10,19,19,16,False,0.176,31.97,0.175,32.22
2p5D_1GPU,9.0,7.0,50,1.6,1.6,16,False,0.163,32.84,0.162,33.10
2p5D_1GPU,9.4,7.0,50,1.6,1.6,16,False,0.164,32.79,0.163,33.04
2p5D_1GPU,10.1218,7.0,50,1.6,1.6,16,False,0.166,32.70,0.165,32.95
2p5D_1GPU,9.0,7.0,50,1.6,19,16,False,0.164,32.74,0.161,33.08
2p5D_1GPU,9.4,7.0,50,1.6,19,16,False,0.165,32.69,0.162,33.03
2p5D_1GPU,10.1218,7.0,50,1.6,19,16,False,0.167,32.61,0.164,32.93
2p5D_1GPU,9.0,7.0,50,19,1.6,16,False,0.163,32.85,0.162,33.10
2p5D_1GPU,9.4,7.0,50,19,1.6,16,False,0.164,32.77,0.163,33.04
2p5D_1GPU,10.1218,7.0,50,19,1.6,16,False,0.166,32.68,0.165,32.95
2p5D_1GPU,9.0,7.0,50,19,19,16,False,0.162,33.01,0.161,33.09
2p5D_1GPU,9.4,7.0,50,19,19,16,False,0.163,32.96,0.162,33.04
2p5D_1GPU,10.1218,7.0,50,19,19,16,False,0.164,32.90,0.164,32.95
2p5D_1GPU,5.0,7.0,5,1.6,1.6,8,False,0.175,32.07,0.173,31.83
2p5D_1GPU,5.6,7.0,5,1.6,1.6,8,False,0.177,31.98,0.175,31.74
2p5D_1GPU,6.8024,7.0,5,1.6,1.6,8,False,0.180,31.80,0.179,31.55
2p5D_1GPU,5.0,7.0,5,1.6,19,8,False,0.173,31.90,0.172,31.87
2p5D_1GPU,5.6,7.0,5,1.6,19,8,False,0.175,31.81,0.174,31.78
2p5D_1GPU,6.8024,7.0,5,1.6,19,8,False,0.179,31.65,0.178,31.60
2p5D_1GPU,5.0,7.0,5,19,1.6,8,False,0.173,32.04,0.173,31.86
2p5D_1GPU,5.6,7.0,5,19,1.6,8,False,0.175,31.95,0.175,31.77
2p5D_1GPU,6.8024,7.0,5,19,1.6,8,False,0.179,31.77,0.178,31.59
2p5D_1GPU,5.0,7.0,5,19,19,8,False,0.173,31.93,0.172,31.90
2p5D_1GPU,5.6,7.0,5,19,19,8,False,0.175,31.84,0.174,31.80
2p5D_1GPU,6.8024,7.0,5,19,19,8,False,0.178,31.66,0.178,31.63
2p5D_1GPU,5.0,7.0,10,1.6,1.6,8,False,0.161,32.99,0.161,32.75
2p5D_1GPU,5.6,7.0,10,1.6,1.6,8,False,0.163,32.90,0.163,32.67
2p5D_1GPU,6.8024,7.0,10,1.6,1.6,8,False,0.166,32.74,0.166,32.50
2p5D_1GPU,5.0,7.0,10,1.6,19,8,False,0.161,32.80,0.160,32.79
2p5D_1GPU,5.6,7.0,10,1.6,19,8,False,0.163,32.71,0.162,32.71
2p5D_1GPU,6.8024,7.0,10,1.6,19,8,False,0.166,32.55,0.165,32.54
2p5D_1GPU,5.0,7.0,10,19,1.6,8,False,0.161,32.84,0.161,32.78
2p5D_1GPU,5.6,7.0,10,19,1.6,8,False,0.163,32.76,0.162,32.70
2p5D_1GPU,6.8024,7.0,10,19,1.6,8,False,0.166,32.60,0.166,32.53
2p5D_1GPU,5.0,7.0,10,19,19,8,False,0.161,32.88,0.160,32.80
2p5D_1GPU,5.6,7.0,10,19,19,8,False,0.163,32.68,0.162,32.71
2p5D_1GPU,6.8024,7.0,10,19,19,8,False,0.166,32.51,0.166,32.54
2p5D_1GPU,5.0,7.0,50,1.6,1.6,8,False,0.151,33.51,0.151,33.51
2p5D_1GPU,5.6,7.0,50,1.6,1.6,8,False,0.153,33.44,0.153,33.43
2p5D_1GPU,6.8024,7.0,50,1.6,1.6,8,False,0.156,33.27,0.156,33.27
2p5D_1GPU,5.0,7.0,50,1.6,19,8,False,0.151,33.62,0.151,33.53
2p5D_1GPU,5.6,7.0,50,1.6,19,8,False,0.153,33.54,0.152,33.46
2p5D_1GPU,6.8024,7.0,50,1.6,19,8,False,0.156,33.39,0.155,33.30
2p5D_1GPU,5.0,7.0,50,19,1.6,8,False,0.151,33.52,0.151,33.53
2p5D_1GPU,5.6,7.0,50,19,1.6,8,False,0.153,33.44,0.152,33.45
2p5D_1GPU,6.8024,7.0,50,19,1.6,8,False,0.156,33.25,0.156,33.29
2p5D_1GPU,5.0,7.0,50,19,19,8,False,0.151,33.55,0.151,33.54
2p5D_1GPU,5.6,7.0,50,19,19,8,False,0.153,33.48,0.152,33.46
2p5D_1GPU,6.8024,7.0,50,19,19,8,False,0.156,33.30,0.155,33.29
3D_1GPU,9.0,7.0,5,1.6,1.6,16,True,0.193,55.24,0.192,55.80
3D_1GPU,9.4,7.0,5,1.6,1.6,16,True,0.193,55.68,0.192,56.24
3D_1GPU,10.1218,7.0,5,1.6,1.6,16,True,0.193,56.49,0.192,57.05
3D_1GPU,9.0,7.0,5,1.6,19,16,True,0.190,54.94,0.188,55.28
3D_1GPU,9.4,7.0,5,1.6,19,16,True,0.190,55.38,0.188,55.72
3D_1GPU,10.1218,7.0,5,1.6,19,16,True,0.190,56.18,0.188,56.51
3D_1GPU,9.0,7.0,5,19,1.6,16,True,0.193,55.02,0.192,55.21
3D_1GPU,9.4,7.0,5,19,1.6,16,True,0.193,55.47,0.192,55.65
3D_1GPU,10.1218,7.0,5,19,1.6,16,True,0.193,56.27,0.192,56.46
3D_1GPU,9.0,7.0,5,19,19,16,True,0.189,54.89,0.188,55.00
3D_1GPU,9.4,7.0,5,19,19,16,True,0.189,55.33,0.188,55.45
3D_1GPU,10.1218,7.0,5,19,19,16,True,0.189,56.13,0.188,56.24
3D_1GPU,9.0,7.0,10,1.6,1.6,16,True,0.180,54.40,0.179,54.62
3D_1GPU,9.4,7.0,10,1.6,1.6,16,True,0.180,54.81,0.179,55.03
3D_1GPU,10.1218,7.0,10,1.6,1.6,16,True,0.180,55.56,0.179,55.76
3D_1GPU,9.0,7.0,10,1.6,19,16,True,0.176,54.21,0.173,54.91
3D_1GPU,9.4,7.0,10,1.6,19,16,True,0.176,54.62,0.173,55.31
3D_1GPU,10.1218,7.0,10,1.6,19,16,True,0.176,55.36,0.173,56.03
3D_1GPU,9.0,7.0,10,19,1.6,16,True,0.180,54.30,0.178,54.43
3D_1GPU,9.4,7.0,10,19,1.6,16,True,0.180,54.72,0.178,54.84
3D_1GPU,10.1218,7.0,10,19,1.6,16,True,0.180,55.47,0.178,55.58
3D_1GPU,9.0,7.0,10,19,19,16,True,0.176,54.21,0.174,54.61
3D_1GPU,9.4,7.0,10,19,19,16,True,0.176,54.62,0.174,55.02
3D_1GPU,10.1218,7.0,10,19,19,16,True,0.176,55.37,0.173,55.78
3D_1GPU,9.0,7.0,50,1.6,1.6,16,True,0.168,53.82,0.166,54.25
3D_1GPU,9.4,7.0,50,1.6,1.6,16,True,0.168,54.21,0.166,54.68
3D_1GPU,10.1218,7.0,50,1.6,1.6,16,True,0.168,54.90,0.166,55.36
3D_1GPU,9.0,7.0,50,1.6,19,16,True,0.165,53.82,0.160,54.99
3D_1GPU,9.4,7.0,50,1.6,19,16,True,0.165,54.20,0.160,55.37
3D_1GPU,10.1218,7.0,50,1.6,19,16,True,0.165,54.89,0.160,56.04
3D_1GPU,9.0,7.0,50,19,1.6,16,True,0.168,53.73,0.167,53.84
3D_1GPU,9.4,7.0,50,19,1.6,16,True,0.168,54.12,0.167,54.22
3D_1GPU,10.1218,7.0,50,19,1.6,16,True,0.168,54.82,0.167,54.91
3D_1GPU,9.0,7.0,50,19,19,16,True,0.165,53.61,0.164,53.72
3D_1GPU,9.4,7.0,50,19,19,16,True,0.165,54.00,0.164,54.09
3D_1GPU,10.1218,7.0,50,19,19,16,True,0.165,54.69,0.164,54.77
3D_1GPU,5.0,7.0,5,1.6,1.6,8,True,0.191,50.59,0.190,50.72
3D_1GPU,5.6,7.0,5,1.6,1.6,8,True,0.191,51.27,0.190,51.43
3D_1GPU,6.8024,7.0,5,1.6,1.6,8,True,0.191,52.61,0.191,52.61
3D_1GPU,5.0,7.0,5,1.6,19,8,True,0.189,50.58,0.187,50.76
3D_1GPU,5.6,7.0,5,1.6,19,8,True,0.188,51.25,0.187,51.43
3D_1GPU,6.8024,7.0,5,1.6,19,8,True,0.189,52.55,0.187,52.65
3D_1GPU,5.0,7.0,5,19,1.6,8,True,0.190,50.59,0.189,50.71
3D_1GPU,5.6,7.0,5,19,1.6,8,True,0.190,51.26,0.189,51.40
3D_1GPU,6.8024,7.0,5,19,1.6,8,True,0.190,52.62,0.189,52.79
3D_1GPU,5.0,7.0,5,19,19,8,True,0.188,50.52,0.187,50.62
3D_1GPU,5.6,7.0,5,19,19,8,True,0.188,51.19,0.187,51.24
3D_1GPU,6.8024,7.0,5,19,19,8,True,0.188,52.52,0.187,52.55
3D_1GPU,5.0,7.0,10,1.6,1.6,8,True,0.177,50.20,0.176,50.41
3D_1GPU,5.6,7.0,10,1.6,1.6,8,True,0.177,50.83,0.176,51.05
3D_1GPU,6.8024,7.0,10,1.6,1.6,8,True,0.177,52.09,0.176,52.30
3D_1GPU,5.0,7.0,10,1.6,19,8,True,0.175,50.15,0.174,50.26
3D_1GPU,5.6,7.0,10,1.6,19,8,True,0.175,50.78,0.174,50.89
3D_1GPU,6.8024,7.0,10,1.6,19,8,True,0.175,52.02,0.173,52.15
3D_1GPU,5.0,7.0,10,19,1.6,8,True,0.177,50.21,0.175,50.50
3D_1GPU,5.6,7.0,10,19,1.6,8,True,0.177,50.84,0.175,51.14
3D_1GPU,6.8024,7.0,10,19,1.6,8,True,0.177,52.10,0.175,52.39
3D_1GPU,5.0,7.0,10,19,19,8,True,0.175,50.12,0.174,50.15
3D_1GPU,5.6,7.0,10,19,19,8,True,0.175,50.74,0.174,50.77
3D_1GPU,6.8024,7.0,10,19,19,8,True,0.175,51.98,0.174,52.02
3D_1GPU,5.0,7.0,50,1.6,1.6,8,True,0.166,49.93,0.164,50.20
3D_1GPU,5.6,7.0,50,1.6,1.6,8,True,0.166,50.50,0.164,50.77
3D_1GPU,6.8024,7.0,50,1.6,1.6,8,True,0.166,51.66,0.165,51.85
3D_1GPU,5.0,7.0,50,1.6,19,8,True,0.164,49.88,0.162,50.08
3D_1GPU,5.6,7.0,50,1.6,19,8,True,0.164,50.46,0.162,50.66
3D_1GPU,6.8024,7.0,50,1.6,19,8,True,0.164,51.61,0.162,51.81
3D_1GPU,5.0,7.0,50,19,1.6,8,True,0.166,49.84,0.164,50.00
3D_1GPU,5.6,7.0,50,19,1.6,8,True,0.166,50.42,0.165,50.56
3D_1GPU,6.8024,7.0,50,19,1.6,8,True,0.166,51.59,0.165,51.69
3D_1GPU,5.0,7.0,50,19,19,8,True,0.164,49.80,0.162,49.98
3D_1GPU,5.6,7.0,50,19,19,8,True,0.164,50.40,0.162,50.76
3D_1GPU,6.8024,7.0,50,19,19,8,True,0.164,51.54,0.162,51.70
